id;cp;lat;lon;nom;origin;exp
01001;01400;46.15111;4.92111;L'Abergement-Clémenciat;fr;0
01002;01640;46.00694;5.42444;L'Abergement-de-Varey;fr;0
01004;01500;45.95806;5.35778;Ambérieu-en-Bugey;fr;0
01005;01330;45.99833;4.90278;Ambérieux-en-Dombes;fr;0
01006;01300;45.74944;5.60139;Ambléon;fr;0
01007;01500;46.00556;5.36056;Ambronay;fr;0
01008;01500;45.93917;5.33806;Ambutrix;fr;0
01009;01300;45.79472;5.65528;Andert-et-Condon;fr;0
01010;01350;45.91222;5.80889;Anglefort;fr;0
01011;01100;46.20694;5.65667;Apremont;fr;0
01012;01110;46.00444;5.50917;Aranc;fr;0
01013;01230;45.89500;5.48639;Arandas;fr;0
01014;01100;46.29556;5.68111;Arbent;fr;0
01015;01300;45.72833;5.65056;Arboys en Bugey;fr;0
01016;01190;46.46972;4.96250;Arbigny;fr;0
01017;01230;45.93389;5.49111;Argis;fr;0
01019;01510;45.84917;5.58556;Armix;fr;0
01021;01480;45.99194;4.82278;Ars-sur-Formans;fr;0
01022;01510;45.87444;5.69278;Artemare;fr;0
01023;01570;46.38389;4.88306;Asnières-sur-Saône;fr;0
01024;01340;46.28722;5.15972;Attignat;fr;0
01025;01380;46.31556;4.94528;Bâgé-Dommartin;fr;0
01026;01380;46.30778;4.92944;Bâgé-le-Châtel;fr;0
01027;01360;45.83417;5.09833;Balan;fr;0
01028;01990;46.11000;4.90167;Baneins;fr;0
01029;01270;46.41139;5.26694;Beaupont;fr;0
01030;01480;46.00194;4.75139;Beauregard;fr;0
01031;01100;46.24472;5.63278;Bellignat;fr;0
01032;01360;45.86806;5.12750;Béligneux;fr;0
01033;01200;46.10750;5.82583;Valserhône;fr;0
01034;01300;45.75917;5.68806;Belley;fr;0
01035;01130;46.25250;5.77750;Belleydoux;fr;0
01036;01260;45.87944;5.66167;Valromey-sur-Séran;fr;0
01037;01470;45.82778;5.47528;Bénonces;fr;0
01038;01370;46.31944;5.28333;Bény;fr;0
01039;01350;45.85472;5.75528;Béon;fr;0
01040;01340;46.36694;5.04611;Béréziat;fr;0
01041;01500;45.94361;5.36278;Bettant;fr;0
01042;01290;46.21944;4.84583;Bey;fr;0
01043;01700;45.84028;5.00139;Beynost;fr;0
01044;01200;46.07694;5.78528;Billiat;fr;0
01045;01330;45.95278;5.04028;Birieux;fr;0
01046;01290;46.21722;4.94444;Biziat;fr;0
01047;01150;45.84694;5.24944;Blyes;fr;0
01049;01120;45.84222;5.03556;La Boisse;fr;0
01050;01190;46.38167;4.99611;Boissey;fr;0
01051;01450;46.19278;5.47444;Bolozon;fr;0
01052;01330;46.02278;4.99167;Bouligneux;fr;0
01053;01000;46.20472;5.22806;Bourg-en-Bresse;fr;0
01054;01800;45.89056;5.16056;Bourg-Saint-Christophe;fr;0
01056;01640;46.03000;5.45667;Boyeux-Saint-Jérôme;fr;0
01057;01190;46.40694;4.90944;Boz;fr;0
01058;01300;45.64889;5.61972;Brégnier-Cordon;fr;0
01060;01110;46.06083;5.60611;Brénod;fr;0
01061;01300;45.71861;5.69472;Brens;fr;0
01062;01360;45.86694;5.09556;Bressolles;fr;0
01063;01460;46.17278;5.55250;Brion;fr;0
01064;01470;45.78250;5.45944;Briord;fr;0
01065;01310;46.20917;5.13333;Buellas;fr;0
01066;01510;45.84667;5.56056;La Burbanche;fr;0
01067;01430;46.12028;5.49917;Ceignes;fr;0
01068;01450;46.08056;5.46583;Cerdon;fr;0
01069;01240;46.13222;5.26444;Certines;fr;0
01071;01170;46.31917;6.07000;Cessy;fr;0
01072;01250;46.17833;5.32389;Ceyzériat;fr;0
01073;01350;45.83500;5.72611;Ceyzérieu;fr;0
01074;01320;45.99611;5.17111;Chalamont;fr;0
01075;01480;46.03056;4.80472;Chaleins;fr;0
01076;01230;45.95528;5.53167;Chaley;fr;0
01077;01450;46.12500;5.46444;Challes-la-Montagne;fr;0
01078;01630;46.18139;5.97583;Challex;fr;0
01079;01260;45.90444;5.67750;Champagne-en-Valromey;fr;0
01080;01110;46.01722;5.59722;Champdor-Corcelles;fr;0
01081;01410;46.19389;5.81667;Champfromier;fr;0
01082;01420;46.00611;5.78556;Chanay;fr;0
01083;01990;46.09667;4.85194;Chaneins;fr;0
01084;01400;46.18417;5.03000;Chanoz-Châtenay;fr;0
01085;01240;46.06889;5.02556;La Chapelle-du-Châtelard;fr;0
01087;01130;46.18333;5.68417;Charix;fr;0
01088;01800;45.87222;5.22167;Charnoz-sur-Ain;fr;0
01089;01500;45.97333;5.30417;Château-Gaillard;fr;0
01090;01320;46.03333;5.20167;Châtenay;fr;0
01092;01320;45.97583;5.24889;Châtillon-la-Palud;fr;0
01093;01400;46.11972;4.95694;Châtillon-sur-Chalaronne;fr;0
01094;01190;46.43056;4.99306;Chavannes-sur-Reyssouze;fr;0
01095;01250;46.26333;5.42667;Nivigne et Suran;fr;0
01096;01660;46.19778;5.06056;Chaveyriat;fr;0
01098;01300;45.80306;5.68167;Chazey-Bons;fr;0
01099;01150;45.89250;5.25444;Chazey-sur-Ain;fr;0
01100;01510;45.82722;5.60778;Cheignieu-la-Balme;fr;0
01101;01430;46.10944;5.58194;Chevillard;fr;0
01102;01190;46.38056;4.94861;Chevroux;fr;0
01103;01170;46.28083;6.03694;Chevry;fr;0
01104;01200;46.22167;5.86639;Chézery-Forens;fr;0
01105;01390;45.92111;4.88083;Civrieux;fr;0
01106;01250;46.20417;5.44556;Cize;fr;0
01107;01230;45.90778;5.43056;Cleyzieu;fr;0
01108;01270;46.38306;5.34611;Coligny;fr;0
01109;01550;46.13861;5.90417;Collonges;fr;0
01110;01300;45.73306;5.62194;Colomieu;fr;0
01111;01230;45.89250;5.47111;Conand;fr;0
01112;01430;46.10889;5.55111;Condamine;fr;0
01113;01400;46.15833;5.08000;Condeissiat;fr;0
01114;01200;46.15000;5.82306;Confort;fr;0
01115;01310;46.26722;5.06528;Confrançon;fr;0
01116;01300;45.80611;5.62833;Contrevoz;fr;0
01117;01300;45.72611;5.60722;Conzieu;fr;0
01118;01420;45.96722;5.82222;Corbonod;fr;0
01121;01110;46.03028;5.49917;Corlier;fr;0
01123;01290;46.24083;4.83139;Cormoranche-sur-Saône;fr;0
01124;01560;46.44917;5.23222;Cormoz;fr;0
01125;01250;46.24306;5.48139;Corveissiat;fr;0
01127;01370;46.33111;5.36889;Courmangoux;fr;0
01128;01560;46.45917;5.10028;Courtes;fr;0
01129;01320;45.96500;5.19056;Crans;fr;0
01130;01340;46.30833;5.16556;Bresse Vallons;fr;0
01133;01350;45.77667;5.76111;Cressin-Rochefort;fr;0
01134;01290;46.27722;4.89222;Crottet;fr;0
01135;01170;46.28056;6.01250;Crozet;fr;0
01136;01290;46.22472;4.88056;Cruzilles-lès-Mépillat;fr;0
01138;01350;45.84861;5.78167;Culoz;fr;0
01139;01560;46.47500;5.15750;Curciat-Dongalon;fr;0
01140;01310;46.27250;5.08861;Curtafond;fr;0
01141;01300;45.81722;5.68444;Cuzieu;fr;0
01142;01120;45.85167;5.06806;Dagneux;fr;0
01143;01220;46.35667;6.14278;Divonne-les-Bains;fr;0
01145;01240;46.07111;5.20472;Dompierre-sur-Veyle;fr;0
01146;01400;46.14333;4.90444;Dompierre-sur-Chalaronne;fr;0
01147;01270;46.41917;5.29500;Domsure;fr;0
01148;01590;46.31889;5.65917;Dortan;fr;0
01149;01500;45.98889;5.37306;Douvres;fr;0
01150;01250;46.21750;5.36861;Drom;fr;0
01151;01160;46.06000;5.31722;Druillat;fr;0
01152;01130;46.21000;5.74139;Échallon;fr;0
01153;01170;46.30889;6.03611;Échenevex;fr;0
01155;01230;45.96083;5.49806;Évosges;fr;0
01156;01800;45.90194;5.12556;Faramans;fr;0
01157;01480;46.01944;4.76167;Fareins;fr;0
01158;01550;46.16778;5.90528;Farges;fr;0
01159;01570;46.33583;4.89111;Feillens;fr;0
01160;01210;46.25583;6.10806;Ferney-Voltaire;fr;0
01162;01350;45.80833;5.73528;Flaxieu;fr;0
01163;01340;46.37028;5.17472;Foissiat;fr;0
01165;01090;46.07361;4.80861;Francheleins;fr;0
01166;01480;45.99139;4.77389;Frans;fr;0
01167;01140;46.20583;4.84111;Garnerans;fr;0
01169;01090;46.11889;4.78694;Genouilleux;fr;0
01170;01460;46.18972;5.55694;Béard-Géovreissiat;fr;0
01171;01100;46.25611;5.61778;Géovreisset;fr;0
01173;01170;46.33333;6.05778;Gex;fr;0
01174;01130;46.22556;5.77417;Giron;fr;0
01175;01190;46.41583;4.94111;Gorrevod;fr;0
01177;01250;46.19917;5.43083;Grand-Corent;fr;0
01179;01290;46.25472;4.85028;Grièges;fr;0
01180;01220;46.33056;6.11500;Grilly;fr;0
01181;01100;46.22917;5.61250;Groissiat;fr;0
01183;01090;46.10806;4.77972;Guéreins;fr;0
01184;01250;46.15972;5.41750;Hautecourt-Romanèche;fr;0
01185;01110;45.97889;5.59944;Plateau d'Hauteville;fr;0
01187;01260;45.99778;5.69333;Haut Valromey;fr;0
01188;01140;46.19028;4.88833;Illiat;fr;0
01189;01200;46.05139;5.80250;Injoux-Génissiat;fr;0
01190;01680;45.78278;5.57250;Innimond;fr;0
01191;01430;46.03806;5.52500;Izenave;fr;0
01192;01580;46.22056;5.55389;Izernore;fr;0
01193;01300;45.65472;5.64361;Izieu;fr;0
01194;01480;45.98556;4.75667;Jassans-Riottier;fr;0
01195;01250;46.21250;5.32444;Jasseron;fr;0
01196;01340;46.37056;5.12083;Jayat;fr;0
01197;01250;46.14472;5.33250;Journans;fr;0
01198;01800;45.96111;5.09944;Joyeux;fr;0
01199;01640;46.04000;5.40889;Jujurieux;fr;0
01200;01450;46.09306;5.48306;Labalme;fr;0
01202;01150;45.90361;5.34917;Lagnieu;fr;0
01203;01290;46.24833;4.88889;Laiz;fr;0
01204;01130;46.15472;5.71472;Le Poizat-Lalleyriat;fr;0
01206;01430;46.05750;5.54167;Lantenay;fr;0
01207;01330;45.98333;4.97667;Lapeyrouse;fr;0
01208;01350;45.80917;5.77250;Lavours;fr;0
01209;01200;46.09806;5.88667;Léaz;fr;0
01210;01410;46.30333;5.94222;Lélex;fr;0
01211;01240;46.11944;5.19583;Lent;fr;0
01212;01560;46.40667;5.14639;Lescheroux;fr;0
01213;01150;45.92333;5.29500;Leyment;fr;0
01214;01450;46.15583;5.47583;Leyssard;fr;0
01215;01420;46.02167;5.77833;Surjoux-Lhopital;fr;0
01216;01680;45.74667;5.53333;Lhuis;fr;0
01219;01680;45.80306;5.52028;Lompnas;fr;0
01224;01360;45.77417;5.20306;Loyettes;fr;0
01225;01090;46.06278;4.78111;Lurcy;fr;0
01227;01300;45.77556;5.71944;Magnieu;fr;0
01228;01430;46.12917;5.53806;Maillat;fr;0
01229;01340;46.32417;5.14667;Malafretaz;fr;0
01230;01560;46.42444;5.09833;Mantenay-Montlin;fr;0
01231;01570;46.35944;4.90778;Manziat;fr;0
01232;01851;46.34250;5.25833;Marboz;fr;0
01233;01680;45.78667;5.54167;Marchamp;fr;0
01234;01300;45.79694;5.72111;Marignieu;fr;0
01235;01240;46.06472;5.07278;Marlieux;fr;0
01236;01340;46.34083;5.07111;Marsonnas;fr;0
01237;01100;46.20944;5.60889;Martignat;fr;0
01238;01600;45.90861;4.83028;Massieux;fr;0
01239;01300;45.75417;5.76722;Massignieu-de-Rives;fr;0
01240;01580;46.26111;5.55389;Matafelon-Granges;fr;0
01241;01370;46.24500;5.35194;Meillonnas;fr;0
01242;01450;46.06944;5.43667;Mérignat;fr;0
01243;01480;46.04833;4.76472;Messimy-sur-Saône;fr;0
01244;01800;45.90444;5.19444;Meximieux;fr;0
01245;01250;46.13694;5.39111;Bohas-Meyriat-Rignat;fr;0
01246;01660;46.23472;5.04722;Mézériat;fr;0
01247;01170;46.36611;5.99528;Mijoux;fr;0
01248;01390;45.89500;4.92972;Mionnay;fr;0
01249;01700;45.82444;4.95306;Miribel;fr;0
01250;01600;45.97333;4.81083;Misérieux;fr;0
01252;01140;46.13833;4.81167;Mogneneins;fr;0
01254;01250;46.17083;5.28417;Montagnat;fr;0
01255;01470;45.79389;5.46750;Montagnieu;fr;0
01257;01200;46.16417;5.80139;Montanges;fr;0
01258;01090;46.09639;4.79722;Montceaux;fr;0
01259;01310;46.21250;5.11250;Montcet;fr;0
01260;01800;45.93028;5.07333;Le Montellier;fr;0
01261;01390;45.95722;4.94028;Monthieux;fr;0
01262;01120;45.85167;5.05639;Montluel;fr;0
01263;01090;46.08139;4.75861;Montmerle-sur-Saône;fr;0
01264;01310;46.19722;5.12194;Montracol;fr;0
01265;01460;46.18667;5.57083;Montréal-la-Cluse;fr;0
01266;01340;46.33667;5.12833;Montrevel-en-Bresse;fr;0
01267;01460;46.18556;5.52667;Nurieux-Volognat;fr;0
01268;01300;45.64139;5.66194;Murs-et-Gélignieux;fr;0
01269;01130;46.15333;5.60611;Nantua;fr;0
01272;01400;46.16222;5.00361;Neuville-les-Dames;fr;0
01273;01160;46.08250;5.37222;Neuville-sur-Ain;fr;0
01274;01130;46.14167;5.63361;Les Neyrolles;fr;0
01275;01700;45.81472;4.93222;Neyron;fr;0
01276;01120;45.82639;5.06389;Niévroz;fr;0
01277;01230;46.00306;5.47083;Nivollet-Montgriffon;fr;0
01279;01230;45.95917;5.47333;Oncieu;fr;0
01280;01510;45.83722;5.53833;Ordonnaz;fr;0
01281;01210;46.26917;6.09944;Ornex;fr;0
01282;01430;46.06722;5.54694;Outriaz;fr;0
01283;01100;46.25556;5.65500;Oyonnax;fr;0
01284;01190;46.39167;4.91556;Ozan;fr;0
01285;01600;45.91556;4.82528;Parcieux;fr;0
01286;01300;45.74417;5.74083;Parves et Nattages;fr;0
01288;01630;46.19000;5.92639;Péron;fr;0
01289;01960;46.17861;5.20278;Péronnas;fr;0
01290;01800;45.90333;5.17944;Pérouges;fr;0
01291;01540;46.24556;4.97806;Perrex;fr;0
01293;01430;46.15417;5.51028;Peyriat;fr;0
01294;01300;45.67667;5.67750;Peyrieu;fr;0
01295;01140;46.12722;4.81528;Peyzieux-sur-Saône;fr;0
01296;01270;46.37139;5.29917;Pirajoux;fr;0
01297;01120;45.88861;5.08944;Pizay;fr;0
01298;01130;46.19194;5.72833;Plagne;fr;0
01299;01330;46.02306;5.08889;Le Plantay;fr;0
01301;01310;46.24889;5.12583;Polliat;fr;0
01302;01350;45.79972;5.74167;Pollieu;fr;0
01303;01450;46.08500;5.40667;Poncin;fr;0
01304;01160;46.04833;5.33639;Pont-d'Ain;fr;0
01305;01190;46.43194;4.93806;Pont-de-Vaux;fr;0
01306;01290;46.26333;4.88778;Pont-de-Veyle;fr;0
01307;01460;46.16444;5.57028;Port;fr;0
01308;01550;46.13972;5.94944;Pougny;fr;0
01309;01250;46.32722;5.42833;Pouillat;fr;0
01310;01300;45.68389;5.64806;Prémeyzel;fr;0
01311;01110;45.87417;5.57139;Prémillieu;fr;0
01313;01280;46.25556;6.08194;Prévessin-Moëns;fr;0
01314;01160;46.00333;5.29000;Priay;fr;0
01317;01250;46.19500;5.35528;Ramasse;fr;0
01318;01390;45.96556;4.86889;Rancé;fr;0
01319;01990;46.09028;4.94944;Relevant;fr;0
01320;01750;46.31028;4.88611;Replonges;fr;0
01321;01250;46.16222;5.33028;Revonnas;fr;0
01322;01600;45.93444;4.82333;Reyrieux;fr;0
01323;01190;46.43194;4.91917;Reyssouze;fr;0
01325;01800;45.94000;5.18944;Rignieux-le-Franc;fr;0
01328;01400;46.11917;5.02278;Romans;fr;0
01329;01510;45.83194;5.59361;Rossillon;fr;0
01330;01260;45.99417;5.66333;Ruffieu;fr;0
01331;01450;46.09556;5.45333;Saint-Alban;fr;0
01332;01380;46.30167;4.92333;Saint-André-de-Bâgé;fr;0
01333;01390;45.92639;4.95222;Saint-André-de-Corcy;fr;0
01334;01290;46.21333;4.91222;Saint-André-d'Huiriat;fr;0
01335;01240;46.11722;5.07861;Saint-André-le-Bouchoux;fr;0
01336;01960;46.15722;5.14639;Saint-André-sur-Vieux-Jonc;fr;0
01337;01190;46.44472;4.96056;Saint-Bénigne;fr;0
01338;01300;45.69444;5.58861;Groslée-Saint-Benoit;fr;0
01339;01600;45.94500;4.73722;Saint-Bernard;fr;0
01342;01120;45.89417;5.05194;Sainte-Croix;fr;0
01343;01380;46.27556;4.97306;Saint-Cyr-sur-Menthon;fr;0
01344;01000;46.19972;5.19222;Saint-Denis-lès-Bourg;fr;0
01345;01500;45.95194;5.32917;Saint-Denis-en-Bugey;fr;0
01346;01340;46.30639;5.06083;Saint-Didier-d'Aussiat;fr;0
01347;01600;45.95639;4.78028;Saint-Didier-de-Formans;fr;0
01348;01140;46.17750;4.81778;Saint-Didier-sur-Chalaronne;fr;0
01349;01800;45.93306;5.15222;Saint-Éloi;fr;0
01350;01370;46.28806;5.29333;Saint-Étienne-du-Bois;fr;0
01351;01140;46.14694;4.86694;Saint-Étienne-sur-Chalaronne;fr;0
01352;01190;46.41306;5.00083;Saint-Étienne-sur-Reyssouze;fr;0
01353;01600;45.97278;4.79806;Sainte-Euphémie;fr;0
01354;01630;46.24333;6.02139;Saint-Genis-Pouilly;fr;0
01355;01380;46.28222;5.00889;Saint-Genis-sur-Menthon;fr;0
01356;01400;46.10556;5.03194;Saint-Georges-sur-Renon;fr;0
01357;01130;46.17778;5.73833;Saint-Germain-de-Joux;fr;0
01358;01300;45.77361;5.61806;Saint-Germain-les-Paroisses;fr;0
01359;01240;46.08056;5.05750;Saint-Germain-sur-Renon;fr;0
01360;01630;46.21278;5.95194;Saint-Jean-de-Gonville;fr;0
01361;01800;45.84000;5.21861;Saint-Jean-de-Niost;fr;0
01362;01390;45.95222;4.88222;Saint-Jean-de-Thurigneux;fr;0
01363;01640;46.02833;5.38917;Saint-Jean-le-Vieux;fr;0
01364;01560;46.39611;5.06278;Saint-Jean-sur-Reyssouze;fr;0
01365;01290;46.25806;4.91556;Saint-Jean-sur-Veyle;fr;0
01366;01150;45.89000;5.27833;Sainte-Julie;fr;0
01367;01560;46.40167;5.11139;Saint-Julien-sur-Reyssouze;fr;0
01368;01540;46.20222;4.95417;Saint-Julien-sur-Veyle;fr;0
01369;01250;46.19028;5.28000;Saint-Just;fr;0
01370;01750;46.30528;4.83944;Saint-Laurent-sur-Saône;fr;0
01371;01390;45.94861;4.98722;Saint-Marcel;fr;0
01372;01510;45.84917;5.67750;Saint-Martin-de-Bavel;fr;0
01373;01430;46.13889;5.55250;Saint-Martin-du-Frêne;fr;0
01374;01160;46.10167;5.32833;Saint-Martin-du-Mont;fr;0
01375;01310;46.28194;5.11583;Saint-Martin-le-Châtel;fr;0
01376;01700;45.83028;4.97528;Saint-Maurice-de-Beynost;fr;0
01378;01800;45.82139;5.19556;Saint-Maurice-de-Gourdans;fr;0
01379;01500;45.95861;5.27556;Saint-Maurice-de-Rémens;fr;0
01380;01560;46.45972;5.15083;Saint-Nizier-le-Bouchoux;fr;0
01381;01320;46.05583;5.14833;Saint-Nizier-le-Désert;fr;0
01382;01330;46.01861;4.93361;Sainte-Olive;fr;0
01383;01240;46.09889;5.12833;Saint-Paul-de-Varax;fr;0
01384;01230;45.94861;5.43806;Saint-Rambert-en-Bugey;fr;0
01385;01310;46.18917;5.16833;Saint-Rémy;fr;0
01386;01150;45.88500;5.37056;Saint-Sorlin-en-Bugey;fr;0
01387;01340;46.32028;5.04167;Saint-Sulpice;fr;0
01388;01560;46.45972;5.08139;Saint-Trivier-de-Courtes;fr;0
01389;01990;46.07333;4.89833;Saint-Trivier-sur-Moignans;fr;0
01390;01150;45.83389;5.29083;Saint-Vulbas;fr;0
01391;01270;46.36389;5.34611;Salavre;fr;0
01392;01580;46.25778;5.57611;Samognat;fr;0
01393;01400;46.06389;4.98083;Sandrans;fr;0
01396;01150;45.85528;5.41000;Sault-Brénaz;fr;0
01397;01220;46.31528;6.11472;Sauverny;fr;0
01398;01480;46.00111;4.84778;Savigneux;fr;0
01399;01170;46.29694;6.07333;Ségny;fr;0
01400;01470;45.80667;5.49028;Seillonnaz;fr;0
01401;01630;46.25306;6.00000;Sergy;fr;0
01402;01190;46.49972;4.98083;Sermoyer;fr;0
01403;01470;45.80806;5.45444;Serrières-de-Briord;fr;0
01404;01450;46.15278;5.45111;Serrières-sur-Ain;fr;0
01405;01960;46.13278;5.16556;Servas;fr;0
01406;01560;46.43361;5.06944;Servignat;fr;0
01407;01420;45.95889;5.83111;Seyssel;fr;0
01408;01250;46.22528;5.41694;Simandre-sur-Suran;fr;0
01410;01580;46.23306;5.52417;Sonthonnax-la-Montagne;fr;0
01411;01150;45.87611;5.41833;Souclin;fr;0
01412;01400;46.17722;4.96306;Sulignat;fr;0
01415;01510;45.86583;5.72500;Talissieu;fr;0
01416;01230;45.92000;5.50833;Tenay;fr;0
01418;01120;45.81417;5.02167;Thil;fr;0
01419;01710;46.23639;5.97972;Thoiry;fr;0
01420;01140;46.17250;4.80194;Thoissey;fr;0
01421;01230;45.92250;5.39528;Torcieu;fr;0
01422;01250;46.14111;5.31500;Tossiat;fr;0
01423;01600;45.96056;4.82861;Toussieux;fr;0
01424;01390;45.87639;4.96556;Tramoyes;fr;0
01425;01160;46.11111;5.26167;La Tranclière;fr;0
01426;01370;46.27139;5.36833;Val-Revermont;fr;0
01427;01600;45.94083;4.77500;Trévoux;fr;0
01428;01140;46.11250;4.87167;Valeins;fr;0
01429;01660;46.21750;5.07917;Vandeins;fr;0
01430;01160;46.04028;5.31639;Varambon;fr;0
01431;01150;45.92806;5.35361;Vaux-en-Bugey;fr;0
01432;01270;46.34583;5.35111;Verjon;fr;0
01433;01560;46.48111;5.11028;Vernoux;fr;0
01434;01330;45.98028;5.10389;Versailleux;fr;0
01435;01210;46.30222;6.09722;Versonnex;fr;0
01436;01170;46.34861;6.09083;Vesancy;fr;0
01437;01560;46.47500;5.02472;Vescours;fr;0
01439;01570;46.35917;4.86722;Vésines;fr;0
01441;01430;46.08083;5.52917;Vieu-d'Izenave;fr;0
01443;01330;46.00250;5.02972;Villars-les-Dombes;fr;0
01444;01150;45.84778;5.43500;Villebois;fr;0
01445;01270;46.34611;5.32111;Villemotier;fr;0
01446;01480;46.02111;4.83667;Villeneuve;fr;0
01447;01250;46.19194;5.39806;Villereversure;fr;0
01448;01200;46.08833;5.78500;Villes;fr;0
01449;01320;45.98833;5.26861;Villette-sur-Ain;fr;0
01450;01800;45.92056;5.22222;Villieu-Loyes-Mollon;fr;0
01451;01440;46.25361;5.21667;Viriat;fr;0
01452;01510;45.84917;5.65167;Virieu-le-Grand;fr;0
01453;01260;45.90861;5.72444;Arvière-en-Valromey;fr;0
01454;01300;45.71722;5.71306;Virignin;fr;0
01456;01350;45.81472;5.72417;Vongnes;fr;0
01457;01540;46.21917;4.99083;Vonnas;fr;0
02001;02300;49.59556;3.17972;Abbécourt;fr;0
02002;02800;49.69222;3.38972;Achery;fr;0
02003;02200;49.34528;3.41361;Acy;fr;0
02004;02340;49.71639;3.95333;Agnicourt-et-Séchelles;fr;0
02005;02190;49.40611;3.96806;Aguilcourt;fr;0
02006;02110;49.93417;3.52167;Aisonville-et-Bernoville;fr;0
02007;02820;49.48972;3.81139;Aizelles;fr;0
02008;02370;49.43472;3.51639;Aizy-Jouy;fr;0
02009;02240;49.76444;3.37556;Alaincourt;fr;0
02010;02320;49.46111;3.45361;Allemant;fr;0
02011;02290;49.38083;3.18444;Ambleny;fr;0
02012;02200;49.31889;3.40139;Ambrief;fr;0
02013;02190;49.48306;3.91833;Amifontaine;fr;0
02014;02700;49.61000;3.30444;Amigny-Rouy;fr;0
02015;02600;49.21694;3.21417;Ancienville;fr;0
02016;02800;49.64250;3.37028;Andelain;fr;0
02017;02800;49.68917;3.43250;Anguilcourt-le-Sart;fr;0
02018;02320;49.50583;3.45056;Anizy-le-Grand;fr;0
02019;02480;49.72083;3.17750;Annois;fr;0
02020;02500;49.88111;4.22083;Any-Martin-Rieux;fr;0
02021;02360;49.74139;4.11833;Archon;fr;0
02022;02130;49.25278;3.46472;Arcy-Sainte-Restitue;fr;0
02023;02210;49.18250;3.38639;Armentières-sur-Ourcq;fr;0
02024;02860;49.49222;3.75444;Arrancy;fr;0
02025;02480;49.76528;3.19000;Artemps;fr;0
02027;02270;49.68833;3.55861;Assis-sur-Serre;fr;0
02028;02840;49.57306;3.68306;Athies-sous-Laon;fr;0
02029;02490;49.85667;3.16861;Attilly;fr;0
02030;02420;50.02861;3.26472;Aubencheul-aux-Bois;fr;0
02031;02500;49.83667;4.20472;Aubenton;fr;0
02032;02590;49.77361;3.11667;Aubigny-aux-Kaisnes;fr;0
02033;02820;49.49806;3.79111;Aubigny-en-Laonnois;fr;0
02034;02300;49.47833;3.13333;Audignicourt;fr;0
02035;02120;49.86972;3.64694;Audigny;fr;0
02036;02220;49.33806;3.51361;Augy;fr;0
02037;02000;49.61222;3.60750;Aulnois-sous-Laon;fr;0
02038;02360;49.76361;4.22500;Les Autels;fr;0
02039;02250;49.70417;3.78639;Autremencourt;fr;0
02040;02580;49.90361;3.85583;Autreppes;fr;0
02041;02300;49.58472;3.24028;Autreville;fr;0
02042;02400;49.00139;3.36611;Azy-sur-Marne;fr;0
02043;02290;49.45750;3.27861;Bagneux;fr;0
02044;02140;49.80056;4.03361;Bancigny;fr;0
02046;02000;49.63306;3.65139;Barenton-Bugny;fr;0
02047;02000;49.64250;3.65278;Barenton-Cel;fr;0
02048;02270;49.67139;3.68028;Barenton-sur-Serre;fr;0
02049;02700;49.57861;3.32806;Barisis-aux-Bois;fr;0
02050;02170;50.04333;3.74611;Barzy-en-Thiérache;fr;0
02051;02850;49.08028;3.55917;Barzy-sur-Marne;fr;0
02052;02380;49.52611;3.38111;Bassoles-Aulers;fr;0
02053;02330;48.98722;3.61389;Vallées en Champagne;fr;0
02054;02220;49.30722;3.61861;Bazoches-sur-Vesles;fr;0
02055;02500;49.83806;4.15222;Beaumé;fr;0
02056;02300;49.68750;3.13250;Beaumont-en-Beine;fr;0
02057;02110;49.99639;3.30889;Beaurevoir;fr;0
02058;02160;49.39222;3.73694;Beaurieux;fr;0
02059;02800;49.65083;3.34472;Beautor;fr;0
02060;02590;49.83889;3.10361;Beauvois-en-Vermandois;fr;0
02061;02110;50.01722;3.46972;Becquigny;fr;0
02062;02400;49.08361;3.29306;Belleau;fr;0
02063;02420;49.92194;3.24333;Bellenglise;fr;0
02064;02200;49.35889;3.33556;Belleu;fr;0
02065;02420;49.96111;3.23583;Bellicourt;fr;0
02066;02440;49.75944;3.30472;Benay;fr;0
02067;02450;50.03333;3.70583;Bergues-sur-Sambre;fr;0
02068;02250;49.77861;3.75806;Berlancourt;fr;0
02069;02340;49.66389;4.10722;Berlise;fr;0
02070;02120;49.86889;3.49861;Bernot;fr;0
02071;02290;49.40667;3.14000;Berny-Rivière;fr;0
02072;02820;49.48778;3.84806;Berrieux;fr;0
02073;02190;49.40361;3.90139;Berry-au-Bac;fr;0
02074;02800;49.62667;3.38806;Bertaucourt-Epourdon;fr;0
02075;02240;49.77167;3.38139;Berthenicourt;fr;0
02076;02190;49.39500;4.00917;Bertricourt;fr;0
02077;02200;49.33389;3.31278;Berzy-le-Sec;fr;0
02078;02300;49.53833;3.16361;Besmé;fr;0
02079;02500;49.83778;4.12194;Besmont;fr;0
02080;02870;49.60000;3.58167;Besny-et-Loizy;fr;0
02081;02300;49.62861;3.14750;Béthancourt-en-Vaux;fr;0
02082;02210;49.23444;3.41417;Beugneux;fr;0
02083;02130;49.14194;3.48944;Beuvardes;fr;0
02084;02310;49.00778;3.22500;Bézu-le-Guéry;fr;0
02085;02400;49.10806;3.40917;Bézu-Saint-Germain;fr;0
02086;02300;49.57944;3.21472;Bichancourt;fr;0
